Trial_index;TrialID;Block;Conditions;Stimulus_type;Number_of_Bars;rt;Query_color;color_sequence;position_sequence;heights;key_press;Correct_Position;response_position;subject_id;correct;avg_frame_time;center_x;center_y;trial_type;time_elapsed;TrialType;timeMs;timeMin;score;reward;date
1;1;1;noStructureExp;bars;2;2209;pink;pink,purple;300,39;210,24;32;1;1;vrlt89awtbuehfx;true;166.661;390;195;psychophysics;144564;practice_trials;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
1;1;1;noStructureExp;query;2;1265;pink;pink,purple;300,39;210,24;49;1;1;vrlt89awtbuehfx;true;166.641;390;195;psychophysics;146836;practice_trial;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
2;6;1;noStructureExp;bars;7;10200;purple;yellow,orange,purple,black,saddlebrown,red,blue;480,390,570,210,300,660,120;150,180,210,240,270,300,330;32;3;3;vrlt89awtbuehfx;true;166.667;390;195;psychophysics;159046;practice_trials;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
2;6;1;noStructureExp;query;7;1567;purple;yellow,orange,purple,black,saddlebrown,red,blue;480,390,570,210,300,660,120;150,180,210,240,270,300,330;51;3;3;vrlt89awtbuehfx;true;166.681;390;195;psychophysics;161619;practice_trial;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
3;2;1;noStructureExp;bars;3;2755;black;green,black,blue;390,300,480;270,300,330;32;2;2;vrlt89awtbuehfx;true;166.663;390;195;psychophysics;166387;practice_trials;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
3;2;1;noStructureExp;query;3;1434;black;green,black,blue;390,300,480;270,300,330;50;2;2;vrlt89awtbuehfx;true;166.652;390;195;psychophysics;168833;practice_trial;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
4;0;1;noStructureExp;bars;1;1801;orange;orange;390;150;32;1;1;vrlt89awtbuehfx;true;166.662;390;195;psychophysics;172642;practice_trials;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
4;0;1;noStructureExp;query;1;336;orange;orange;390;150;49;1;1;vrlt89awtbuehfx;true;166.785;390;195;psychophysics;173985;practice_trial;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
5;4;1;noStructureExp;bars;5;3749;green;yellow,blue,green,purple,pink;390,300,570,210,480;210,240,270,300,330;32;3;3;vrlt89awtbuehfx;true;166.666;390;195;psychophysics;179747;practice_trials;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
5;4;1;noStructureExp;query;5;1661;green;yellow,blue,green,purple,pink;390,300,570,210,480;210,240,270,300,330;51;3;3;vrlt89awtbuehfx;true;166.655;390;195;psychophysics;182417;practice_trial;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
6;5;1;noStructureExp;bars;6;7620;saddlebrown;pink,orange,purple,white,saddlebrown,red;300,210,120,570,480,390;180,210,240,270,300,330;32;5;5;vrlt89awtbuehfx;true;166.662;390;195;psychophysics;192051;practice_trials;NULL;NULL;NULL;NULL;14_11_2020_9_50_30
