Trial_index;TrialID;Block;Conditions;Stimulus_type;Number_of_Bars;rt;Query_color;color_sequence;position_sequence;heights;key_press;Correct_Position;response_position;subject_id;correct;avg_frame_time;center_x;center_y;trial_type;time_elapsed;TrialType;timeMs;timeMin;score;reward;date
1;2;1;noStructureExp;bars;3;2055;black;white,black,orange;480,300,390;150,180,210;32;2;2;euy73pt78rjgn1a;true;166.826;390;195;psychophysics;125764;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
1;2;1;noStructureExp;query;3;1896;black;white,black,orange;480,300,390;150,180,210;50;2;2;euy73pt78rjgn1a;true;166.825;390;195;psychophysics;128667;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
2;0;1;noStructureExp;bars;1;2332;yellow;yellow;390;270;32;1;1;euy73pt78rjgn1a;true;166.832;390;195;psychophysics;133011;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
2;0;1;noStructureExp;query;1;2210;yellow;yellow;390;270;49;1;1;euy73pt78rjgn1a;true;166.825;390;195;psychophysics;136227;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
3;4;1;noStructureExp;bars;5;4031;white;red,yellow,saddlebrown,black,white;480,210,390,300,570;180,210,240,270,300;32;5;5;euy73pt78rjgn1a;true;166.827;390;195;psychophysics;142267;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
3;4;1;noStructureExp;query;5;1838;white;red,yellow,saddlebrown,black,white;480,210,390,300,570;180,210,240,270,300;53;5;5;euy73pt78rjgn1a;true;166.823;390;195;psychophysics;145115;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
4;5;1;noStructureExp;bars;6;4016;saddlebrown;black,white,saddlebrown,green,purple,red;570,480,390,300,120,210;150,180,210,240,270,300;32;3;7;euy73pt78rjgn1a;false;166.828;390;195;psychophysics;151139;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
4;5;1;noStructureExp;query;6;2634;saddlebrown;black,white,saddlebrown,green,purple,red;570,480,390,300,120,210;150,180,210,240,270,300;55;3;7;euy73pt78rjgn1a;false;166.827;390;195;psychophysics;154779;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
5;1;1;noStructureExp;bars;2;1438;red;white,red;390,3;240,27;32;2;1;euy73pt78rjgn1a;false;166.828;390;195;psychophysics;158227;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
5;1;1;noStructureExp;query;2;1081;red;white,red;390,3;240,27;49;2;1;euy73pt78rjgn1a;false;166.834;390;195;psychophysics;160315;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_8_17_1
