Trial_index;TrialID;Block;Conditions;Stimulus_type;Number_of_Bars;rt;Query_color;color_sequence;position_sequence;heights;key_press;Correct_Position;response_position;subject_id;correct;avg_frame_time;center_x;center_y;trial_type;time_elapsed;TrialType;timeMs;timeMin;score;reward;date
1;4;1;noStructureExp;bars;5;3187;saddlebrown;orange,saddlebrown,black,pink,red;390,300,210,570,480;180,210,240,270,300;32;2;2;cd1ooce50gh5xra;true;166.683;390;195;psychophysics;107611;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
1;4;1;noStructureExp;query;5;1389;saddlebrown;orange,saddlebrown,black,pink,red;390,300,210,570,480;180,210,240,270,300;50;2;2;cd1ooce50gh5xra;true;166.658;390;195;psychophysics;110004;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
2;0;1;noStructureExp;bars;1;1472;white;white;390;300;32;1;5;cd1ooce50gh5xra;false;166.702;390;195;psychophysics;113483;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
2;0;1;noStructureExp;query;1;2916;white;white;390;300;53;1;5;cd1ooce50gh5xra;false;166.683;390;195;psychophysics;117404;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
3;1;1;noStructureExp;bars;2;2524;pink;pink,black;390,3;270,3;32;1;1;cd1ooce50gh5xra;true;166.673;390;195;psychophysics;121936;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
3;1;1;noStructureExp;query;2;2205;pink;pink,black;390,3;270,3;49;1;1;cd1ooce50gh5xra;true;166.681;390;195;psychophysics;125147;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
4;3;1;noStructureExp;bars;4;4349;yellow;pink,yellow,saddlebrown,red;390,210,480,300;240,270,300,330;32;2;2;cd1ooce50gh5xra;true;166.688;390;195;psychophysics;131502;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
4;3;1;noStructureExp;query;4;1518;yellow;pink,yellow,saddlebrown,red;390,210,480,300;240,270,300,330;50;2;2;cd1ooce50gh5xra;true;166.674;390;195;psychophysics;134025;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
5;2;1;noStructureExp;bars;3;3366;orange;pink,white,orange;480,390,300;180,210,240;32;3;3;cd1ooce50gh5xra;true;166.691;390;195;psychophysics;139405;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
5;2;1;noStructureExp;query;3;647;orange;pink,white,orange;480,390,300;180,210,240;51;3;3;cd1ooce50gh5xra;true;166.641;390;195;psychophysics;141057;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
6;6;1;noStructureExp;bars;7;5721;red;orange,blue,green,saddlebrown,pink,white,red;570,120,660,390,210,300,480;150,180,210,240,270,300,330;32;7;7;cd1ooce50gh5xra;true;166.683;390;195;psychophysics;148783;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
6;6;1;noStructureExp;query;7;599;red;orange,blue,green,saddlebrown,pink,white,red;570,120,660,390,210,300,480;150,180,210,240,270,300,330;55;7;7;cd1ooce50gh5xra;true;166.706;390;195;psychophysics;150389;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
7;5;1;noStructureExp;bars;6;4715;orange;saddlebrown,green,orange,white,black,pink;210,390,570,480,300,120;180,210,240,270,300,330;32;3;3;cd1ooce50gh5xra;true;166.686;390;195;psychophysics;157114;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
7;5;1;noStructureExp;query;6;1270;orange;saddlebrown,green,orange,white,black,pink;210,390,570,480,300,120;180,210,240,270,300,330;51;3;3;cd1ooce50gh5xra;true;166.706;390;195;psychophysics;159388;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
8;1;2;noStructureCont;bars;2;1896;white;white,yellow;300,39;270,3;32;1;1;cd1ooce50gh5xra;true;166.691;390;195;psychophysics;165818;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
8;1;2;noStructureCont;query;2;495;white;white,yellow;300,39;270,3;49;1;1;cd1ooce50gh5xra;true;166.734;390;195;psychophysics;167326;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
9;4;2;noStructureCont;bars;5;2906;purple;pink,purple,green,white,saddlebrown;210,300,390,480,570;180,210,240,270,300;32;2;2;cd1ooce50gh5xra;true;166.695;390;195;psychophysics;172241;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
9;4;2;noStructureCont;query;5;1251;purple;pink,purple,green,white,saddlebrown;210,300,390,480,570;180,210,240,270,300;50;2;2;cd1ooce50gh5xra;true;166.706;390;195;psychophysics;174498;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
10;5;2;noStructureCont;bars;6;4144;green;red,black,green,blue,pink,white;120,210,300,390,480,570;180,210,240,270,300,330;32;3;3;cd1ooce50gh5xra;true;16.669;390;195;psychophysics;180647;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
10;5;2;noStructureCont;query;6;2800;green;red,black,green,blue,pink,white;120,210,300,390,480,570;180,210,240,270,300,330;51;3;3;cd1ooce50gh5xra;true;166.687;390;195;psychophysics;184451;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
11;3;2;noStructureCont;bars;4;1975;blue;green,blue,yellow,saddlebrown;210,300,390,480;240,270,300,330;32;2;2;cd1ooce50gh5xra;true;166.676;390;195;psychophysics;188431;practice_trials;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
11;3;2;noStructureCont;query;4;1340;blue;green,blue,yellow,saddlebrown;210,300,390,480;240,270,300,330;50;2;2;cd1ooce50gh5xra;true;166.653;390;195;psychophysics;190778;practice_trial;NULL;NULL;NULL;NULL;13_11_2020_13_34_6
