correlation,model1,model2
0.932877784796907,mutator,mutator
0.934921726305911,mutator,mutator
0.932862889383818,mutator,mutator
0.934920853372649,mutator,mutator
0.934297475746669,mutator,mutator
0.931835539613585,mutator,mutator
0.933895478758588,mutator,mutator
0.937789337775159,mutator,mutator
0.934908301628544,mutator,mutator
0.936734799216496,mutator,mutator
0.93065403218922,mutator,mutator
0.927695431402118,mutator,mutator
0.936351148415642,mutator,mutator
0.930229900593362,mutator,mutator
0.931896874797961,mutator,mutator
0.936187596379971,mutator,mutator
0.931611467413722,mutator,mutator
0.934110452162537,mutator,mutator
0.933639727288937,mutator,mutator
0.932130475938929,mutator,mutator
0.0470698556246655,mutator,generator
0.0536233812117195,mutator,generator
0.0498161854977215,mutator,generator
0.0503401643809633,mutator,generator
0.0465366678726164,mutator,generator
0.0469357105942992,mutator,generator
0.0424553456626004,mutator,generator
0.0489646955631883,mutator,generator
0.0498358613357917,mutator,generator
0.0470094780957808,mutator,generator
0.0523149284272348,mutator,generator
0.0392217868410689,mutator,generator
0.0448066487609231,mutator,generator
0.0444287781227535,mutator,generator
0.043958430272136,mutator,generator
0.0507921369221968,mutator,generator
0.0481110412995115,mutator,generator
0.045032922281645,mutator,generator
0.0473595732169495,mutator,generator
0.0507432620911364,mutator,generator
0.0476826114224477,generator,mutator
0.0466137499714646,generator,mutator
0.0490743513200401,generator,mutator
0.0458057337275275,generator,mutator
0.0458417635909173,generator,mutator
0.0464459250177882,generator,mutator
0.0501559360359712,generator,mutator
0.04294755883643,generator,mutator
0.0413808779688192,generator,mutator
0.0485994998692368,generator,mutator
0.0446588539686208,generator,mutator
0.0486060835126291,generator,mutator
0.0471685837976459,generator,mutator
0.0481108613816219,generator,mutator
0.0436260274255274,generator,mutator
0.0434626970574447,generator,mutator
0.0453196735120441,generator,mutator
0.0477757108287856,generator,mutator
0.0430295664335681,generator,mutator
0.0457855236257926,generator,mutator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
