correlation,model1,model2
0.930129998501577,mutator,mutator
0.922853910317061,mutator,mutator
0.926616699539108,mutator,mutator
0.9286434162383,mutator,mutator
0.923866688696102,mutator,mutator
0.931989172529835,mutator,mutator
0.925929909690651,mutator,mutator
0.930212805257768,mutator,mutator
0.925846800301363,mutator,mutator
0.925700384273794,mutator,mutator
0.926450647846357,mutator,mutator
0.927113414457779,mutator,mutator
0.9253566563396,mutator,mutator
0.929620621129878,mutator,mutator
0.927465851478454,mutator,mutator
0.924815516500141,mutator,mutator
0.92847173920273,mutator,mutator
0.92550063547812,mutator,mutator
0.930466305358032,mutator,mutator
0.922223648460507,mutator,mutator
0.0393656430750218,mutator,generator
0.041136950361056,mutator,generator
0.0417351091225162,mutator,generator
0.0381993440312208,mutator,generator
0.0472426104065341,mutator,generator
0.0429945370865042,mutator,generator
0.03981998893242,mutator,generator
0.0392548858728672,mutator,generator
0.0358396979225231,mutator,generator
0.0402882406194732,mutator,generator
0.0414759168973751,mutator,generator
0.0414217346367312,mutator,generator
0.0398445241434115,mutator,generator
0.03995448310863,mutator,generator
0.0431480611051831,mutator,generator
0.0380483700589886,mutator,generator
0.0424926734426573,mutator,generator
0.0432851228616834,mutator,generator
0.0429071776307425,mutator,generator
0.0418881657591697,mutator,generator
0.0373946042729038,generator,mutator
0.0346041028462319,generator,mutator
0.0438065341178012,generator,mutator
0.040148360002758,generator,mutator
0.0408845176844858,generator,mutator
0.0435058111524561,generator,mutator
0.0358950455393563,generator,mutator
0.0369401814613569,generator,mutator
0.0398231415032255,generator,mutator
0.0387175460278657,generator,mutator
0.0391110506522066,generator,mutator
0.0333073751044253,generator,mutator
0.0367078167997463,generator,mutator
0.0373914726710159,generator,mutator
0.0422629924823794,generator,mutator
0.033345981104684,generator,mutator
0.0359215850457836,generator,mutator
0.0386940303407858,generator,mutator
0.0366869280269661,generator,mutator
0.0392004806133121,generator,mutator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
1,generator,generator
