NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
6,11,0.67,0.5507745266781411,1,a,y7a6denlnqvwcgm,Query,1
3,5,1.08,0.815625,1,a,y7a6denlnqvwcgm,Query,2
6,11,-2.432,0.5402298850574713,1,a,y7a6denlnqvwcgm,Query,3
6,11,0.631,0.5656028368794326,1,a,y7a6denlnqvwcgm,Query,4
5,9,1.422,0.677115987460815,1,a,y7a6denlnqvwcgm,Query,5
2,3,-0.066,0.9305555555555556,1,a,y7a6denlnqvwcgm,Query,6
3,5,0.769,0.8009950248756219,1,a,y7a6denlnqvwcgm,Query,7
5,9,3.098,0.7204968944099379,1,a,y7a6denlnqvwcgm,Query,8
1,1,0.28,1,1,a,y7a6denlnqvwcgm,Query,9
6,11,-1.117,0.8392857142857143,1,a,y7a6denlnqvwcgm,Query,10
3,5,0.931,0.9468085106382979,1,a,y7a6denlnqvwcgm,Query,11
1,1,-0.084,1,1,a,y7a6denlnqvwcgm,Query,12
4,7,-0.087,0.9310344827586207,1,a,y7a6denlnqvwcgm,Query,13
7,10,0.721,0.5925925925925926,1,a,y7a6denlnqvwcgm,Query,14
7,10,-1.393,0.9375,0,a,y7a6denlnqvwcgm,Query,15
1,1,0.187,1,1,a,y7a6denlnqvwcgm,Query,16
5,7,-1.616,0.9090909090909091,1,a,y7a6denlnqvwcgm,Query,17
7,9,2.356,0.675,1,a,y7a6denlnqvwcgm,Query,18
5,7,-3.322,0.8888888888888888,1,a,y7a6denlnqvwcgm,Query,19
4,6,0.687,1,1,a,y7a6denlnqvwcgm,Query,20
1,1,-0.107,1,1,a,y7a6denlnqvwcgm,Query,21
6,6,0.595,0.8636363636363636,1,a,y7a6denlnqvwcgm,Query,22
4,4,-0.017,1,1,a,y7a6denlnqvwcgm,Query,23
2,2,0.656,1,1,a,y7a6denlnqvwcgm,Query,24
2,2,0.944,0.9411764705882353,1,a,y7a6denlnqvwcgm,Query,25
4,4,1.425,0.6875,1,a,y7a6denlnqvwcgm,Query,26
1,1,-0.773,1,1,a,y7a6denlnqvwcgm,Query,27
7,7,1.079,0.8888888888888888,1,a,y7a6denlnqvwcgm,Query,28
7,7,-0.38,0.625,0,a,y7a6denlnqvwcgm,Query,29
3,3,-0.608,1,1,a,y7a6denlnqvwcgm,Query,30
4,4,-0.354,1,1,a,y7a6denlnqvwcgm,Query,31
2,2,-0.119,0.3333333333333333,1,a,y7a6denlnqvwcgm,Query,32
5,4,-4.259,1,1,a,y7a6denlnqvwcgm,Query,33
2,2,-0.65,1,1,a,y7a6denlnqvwcgm,Query,34
3,3,-3.047,1,1,a,y7a6denlnqvwcgm,Query,35
7,13,20.544,0.47117039586919107,1,a,tf2ekjffoeoptr3,Query,1
3,5,4.987,0.9205479452054794,1,a,tf2ekjffoeoptr3,Query,2
6,11,-0.533,0.8859126984126984,1,a,tf2ekjffoeoptr3,Query,3
2,3,1.963,1,1,a,tf2ekjffoeoptr3,Query,4
7,13,-23.4,0.44201909959072305,1,a,tf2ekjffoeoptr3,Query,5
4,7,1.554,0.7870370370370371,1,a,tf2ekjffoeoptr3,Query,6
5,9,3.794,0.796078431372549,1,a,tf2ekjffoeoptr3,Query,7
4,7,3.633,0.9408866995073891,1,a,tf2ekjffoeoptr3,Query,8
7,12,0.927,0.6596858638743456,1,a,tf2ekjffoeoptr3,Query,9
2,3,-2.218,1,1,a,tf2ekjffoeoptr3,Query,10
6,11,1.164,0.9193548387096774,1,a,tf2ekjffoeoptr3,Query,11
5,9,-1.888,0.6052631578947368,1,a,tf2ekjffoeoptr3,Query,12
7,11,4.07,0.8405797101449275,1,a,tf2ekjffoeoptr3,Query,13
2,3,1.734,1,1,a,tf2ekjffoeoptr3,Query,14
5,8,2.96,0.9821428571428571,0,a,tf2ekjffoeoptr3,Query,15
2,3,2.194,1,1,a,tf2ekjffoeoptr3,Query,16
6,9,-4.445,0.9444444444444444,1,a,tf2ekjffoeoptr3,Query,17
2,3,1.987,1,1,a,tf2ekjffoeoptr3,Query,18
1,1,1.223,1,1,a,tf2ekjffoeoptr3,Query,19
7,8,0.199,0.75,1,a,tf2ekjffoeoptr3,Query,20
3,5,0.807,1,1,a,tf2ekjffoeoptr3,Query,21
1,1,0.015,1,1,a,tf2ekjffoeoptr3,Query,22
5,6,1.376,0.6764705882352942,1,a,tf2ekjffoeoptr3,Query,23
4,5,11.537,0.9130434782608695,1,a,tf2ekjffoeoptr3,Query,24
3,4,1.672,0.8095238095238095,1,a,tf2ekjffoeoptr3,Query,25
1,1,0.061,1,1,a,tf2ekjffoeoptr3,Query,26
1,1,0.128,1,1,a,tf2ekjffoeoptr3,Query,27
5,5,-0.819,0.9333333333333333,1,a,tf2ekjffoeoptr3,Query,28
3,3,0.972,0.9285714285714286,1,a,tf2ekjffoeoptr3,Query,29
4,4,0.265,0.9230769230769231,1,a,tf2ekjffoeoptr3,Query,30
6,6,-16.742,0.6666666666666666,1,a,tf2ekjffoeoptr3,Query,31
6,6,-4.03,1,1,a,tf2ekjffoeoptr3,Query,32
1,1,0.188,1,1,a,tf2ekjffoeoptr3,Query,33
3,3,-2.344,1,1,a,tf2ekjffoeoptr3,Query,34
4,4,-3.128,1,1,a,tf2ekjffoeoptr3,Query,35
6,11,-0.737,0.5920826161790017,1,a,4r8fa9xh0zzco6o,Query,1
7,13,8.262,0.752906976744186,1,a,4r8fa9xh0zzco6o,Query,2
2,3,0.374,0.9826254826254827,1,a,4r8fa9xh0zzco6o,Query,3
3,5,-1.527,0.5658153241650294,1,a,4r8fa9xh0zzco6o,Query,4
1,1,-0.059,1,1,a,4r8fa9xh0zzco6o,Query,5
7,13,-1.247,0.448943661971831,1,a,4r8fa9xh0zzco6o,Query,6
4,7,0.083,0.9647058823529412,1,a,4r8fa9xh0zzco6o,Query,7
5,9,2.836,0.8861788617886179,1,a,4r8fa9xh0zzco6o,Query,8
2,3,0.152,0.9311926605504587,1,a,4r8fa9xh0zzco6o,Query,9
1,1,0.065,1,1,a,4r8fa9xh0zzco6o,Query,10
1,1,0.081,1,1,a,4r8fa9xh0zzco6o,Query,11
3,5,-0.279,0.9591836734693877,1,a,4r8fa9xh0zzco6o,Query,12
6,11,-0.01,0.9468085106382979,1,a,4r8fa9xh0zzco6o,Query,13
7,11,4.316,0.5561797752808989,1,a,4r8fa9xh0zzco6o,Query,14
4,7,1.892,0.9494949494949495,1,a,4r8fa9xh0zzco6o,Query,15
5,8,3.431,0.8404255319148937,1,a,4r8fa9xh0zzco6o,Query,16
4,7,1.86,0.8734177215189873,1,a,4r8fa9xh0zzco6o,Query,17
4,7,-0.412,0.8985507246376812,1,a,4r8fa9xh0zzco6o,Query,18
3,5,0.563,0.8870967741935484,1,a,4r8fa9xh0zzco6o,Query,19
2,3,-0.243,1,1,a,4r8fa9xh0zzco6o,Query,20
1,1,-0.143,1,1,a,4r8fa9xh0zzco6o,Query,21
2,3,0.412,1,1,a,4r8fa9xh0zzco6o,Query,22
5,9,2.062,0.9230769230769231,1,a,4r8fa9xh0zzco6o,Query,23
3,5,2.603,0.8541666666666666,1,a,4r8fa9xh0zzco6o,Query,24
2,3,0.454,1,1,a,4r8fa9xh0zzco6o,Query,25
1,1,4.056,1,1,a,4r8fa9xh0zzco6o,Query,26
5,6,2.863,0.9487179487179487,1,a,4r8fa9xh0zzco6o,Query,27
7,8,0.327,0.6756756756756757,1,a,4r8fa9xh0zzco6o,Query,28
5,6,-0.572,0.96,1,a,4r8fa9xh0zzco6o,Query,29
6,7,-4.002,0.5833333333333334,1,a,4r8fa9xh0zzco6o,Query,30
6,7,-3.661,0.5714285714285714,1,a,4r8fa9xh0zzco6o,Query,31
6,7,-4.512,0.875,1,a,4r8fa9xh0zzco6o,Query,32
7,8,-5.377,1,1,a,4r8fa9xh0zzco6o,Query,33
3,3,-0.11,1,1,a,4r8fa9xh0zzco6o,Query,34
4,4,-0.198,1,1,a,4r8fa9xh0zzco6o,Query,35
3,5,0.186,0.8231497418244407,1,a,a9tn75magy8nffy,Query,1
2,3,0.275,0.9168844746471511,1,a,a9tn75magy8nffy,Query,2
3,5,-0.428,0.7348916761687572,1,a,a9tn75magy8nffy,Query,3
7,13,3.168,0.804499612102405,1,a,a9tn75magy8nffy,Query,4
6,11,2.998,0.5110896817743491,1,a,a9tn75magy8nffy,Query,5
4,7,0.159,0.5320754716981132,1,a,a9tn75magy8nffy,Query,6
2,3,0.023,1,1,a,a9tn75magy8nffy,Query,7
4,7,-0.545,0.697841726618705,1,a,a9tn75magy8nffy,Query,8
1,1,-0.041,1,1,a,a9tn75magy8nffy,Query,9
3,5,0.553,0.625,1,a,a9tn75magy8nffy,Query,10
5,8,0.727,0.7416666666666667,1,a,a9tn75magy8nffy,Query,11
3,5,-0.258,1,1,a,a9tn75magy8nffy,Query,12
5,7,0.564,0.8181818181818182,1,a,a9tn75magy8nffy,Query,13
6,8,-0.239,0.7916666666666666,1,a,a9tn75magy8nffy,Query,14
1,1,-0.068,1,1,a,a9tn75magy8nffy,Query,15
2,3,-0.179,0.9642857142857143,1,a,a9tn75magy8nffy,Query,16
3,4,-0.344,1,1,a,a9tn75magy8nffy,Query,17
5,6,0.205,1,1,a,a9tn75magy8nffy,Query,18
7,8,-2.024,0.8297872340425532,1,a,a9tn75magy8nffy,Query,19
1,1,0.01,1,1,a,a9tn75magy8nffy,Query,20
6,7,-2.376,0.9166666666666666,0,a,a9tn75magy8nffy,Query,21
1,1,-0.057,1,1,a,a9tn75magy8nffy,Query,22
7,7,0.831,1,1,a,a9tn75magy8nffy,Query,23
2,3,0.091,0.9354838709677419,1,a,a9tn75magy8nffy,Query,24
4,4,-0.234,0.9655172413793104,1,a,a9tn75magy8nffy,Query,25
4,4,-0.315,0.9642857142857143,1,a,a9tn75magy8nffy,Query,26
7,7,3.848,0.9259259259259259,1,a,a9tn75magy8nffy,Query,27
5,5,-0.713,1,1,a,a9tn75magy8nffy,Query,28
7,7,2.774,1,1,a,a9tn75magy8nffy,Query,29
6,6,1.766,0.8695652173913043,1,a,a9tn75magy8nffy,Query,30
2,2,0.162,0.95,1,a,a9tn75magy8nffy,Query,31
6,6,0.909,0.9473684210526315,1,a,a9tn75magy8nffy,Query,32
5,5,-2.998,1,1,a,a9tn75magy8nffy,Query,33
4,4,0.789,0.9375,1,a,a9tn75magy8nffy,Query,34
1,1,-0.034,1,1,a,a9tn75magy8nffy,Query,35
5,9,1.776,0.7874354561101549,1,a,rbrzxgywqun5ned,Query,1
7,13,5.981,0.6262295081967213,1,a,rbrzxgywqun5ned,Query,2
5,9,0.59,0.4912739965095986,1,a,rbrzxgywqun5ned,Query,3
4,7,1.696,0.8099467140319716,1,a,rbrzxgywqun5ned,Query,4
6,11,2.002,0.5482456140350878,1,a,rbrzxgywqun5ned,Query,5
4,7,1.943,0.808,1,a,rbrzxgywqun5ned,Query,6
6,11,2.895,0.8267326732673267,1,a,rbrzxgywqun5ned,Query,7
5,9,6.166,0.9461077844311377,1,a,rbrzxgywqun5ned,Query,8
5,9,0.214,0.9177215189873418,1,a,rbrzxgywqun5ned,Query,9
3,5,2.268,0.6482758620689655,1,a,rbrzxgywqun5ned,Query,10
2,3,1.239,0.9893617021276596,1,a,rbrzxgywqun5ned,Query,11
7,13,1.082,0.8709677419354839,1,a,rbrzxgywqun5ned,Query,12
2,3,0.794,0.9012345679012346,1,a,rbrzxgywqun5ned,Query,13
1,1,0.209,1,1,a,rbrzxgywqun5ned,Query,14
3,5,0.961,0.9577464788732394,1,a,rbrzxgywqun5ned,Query,15
1,1,0.045,1,1,a,rbrzxgywqun5ned,Query,16
4,7,2.299,0.8636363636363636,1,a,rbrzxgywqun5ned,Query,17
1,1,-0.026,1,1,a,rbrzxgywqun5ned,Query,18
6,9,0.261,0.9272727272727272,0,a,rbrzxgywqun5ned,Query,19
5,8,1.768,0.9019607843137255,1,a,rbrzxgywqun5ned,Query,20
6,9,0.304,0.7391304347826086,1,a,rbrzxgywqun5ned,Query,21
7,10,0.567,0.9117647058823529,1,a,rbrzxgywqun5ned,Query,22
2,3,0.598,1,1,a,rbrzxgywqun5ned,Query,23
3,5,0.007,1,1,a,rbrzxgywqun5ned,Query,24
6,7,0.404,0.9655172413793104,1,a,rbrzxgywqun5ned,Query,25
7,8,0.375,0.9285714285714286,1,a,rbrzxgywqun5ned,Query,26
1,1,0.173,1,1,a,rbrzxgywqun5ned,Query,27
4,5,0.16,1,1,a,rbrzxgywqun5ned,Query,28
2,2,-0.061,1,1,a,rbrzxgywqun5ned,Query,29
2,3,0.542,0.9523809523809523,1,a,rbrzxgywqun5ned,Query,30
4,5,-1.565,0.95,1,a,rbrzxgywqun5ned,Query,31
1,1,0.113,1,1,a,rbrzxgywqun5ned,Query,32
3,3,0.427,1,1,a,rbrzxgywqun5ned,Query,33
7,7,1.929,1,1,a,rbrzxgywqun5ned,Query,34
3,3,0.123,1,1,a,rbrzxgywqun5ned,Query,35
4,7,-0.341,0.6725473321858864,1,a,jlbt4al7q4sv0kj,Query,1
2,3,13.416,0.9385796545105566,1,a,jlbt4al7q4sv0kj,Query,2
1,1,0.797,1,1,a,jlbt4al7q4sv0kj,Query,3
3,5,0.049,0.8972503617945007,1,a,jlbt4al7q4sv0kj,Query,4
1,1,3.736,1,1,a,jlbt4al7q4sv0kj,Query,5
2,3,-0.941,0.8130311614730878,1,a,jlbt4al7q4sv0kj,Query,6
6,8,-1.629,0.8153310104529616,1,a,jlbt4al7q4sv0kj,Query,7
4,6,-1.139,0.8162393162393162,1,a,jlbt4al7q4sv0kj,Query,8
5,7,2.536,0.8010471204188482,1,a,jlbt4al7q4sv0kj,Query,9
7,9,1.262,0.954248366013072,1,a,jlbt4al7q4sv0kj,Query,10
5,7,1.084,0.7534246575342466,1,a,jlbt4al7q4sv0kj,Query,11
3,5,0.866,0.9090909090909091,1,a,jlbt4al7q4sv0kj,Query,12
2,3,1.48,0.99,1,a,jlbt4al7q4sv0kj,Query,13
7,8,-1.898,0.6666666666666666,1,a,jlbt4al7q4sv0kj,Query,14
6,7,0.803,0.8636363636363636,1,a,jlbt4al7q4sv0kj,Query,15
7,8,-0.571,0.8947368421052632,1,a,jlbt4al7q4sv0kj,Query,16
3,4,-1.032,1,1,a,jlbt4al7q4sv0kj,Query,17
3,4,-1.37,0.92,1,a,jlbt4al7q4sv0kj,Query,18
2,3,-0.345,0.8913043478260869,1,a,jlbt4al7q4sv0kj,Query,19
7,8,2.749,0.975609756097561,1,a,jlbt4al7q4sv0kj,Query,20
6,7,0.319,1,1,a,jlbt4al7q4sv0kj,Query,21
4,5,-0.64,0.8717948717948718,1,a,jlbt4al7q4sv0kj,Query,22
1,1,2.13,1,1,a,jlbt4al7q4sv0kj,Query,23
5,6,-3.61,1,1,a,jlbt4al7q4sv0kj,Query,24
4,5,1.848,0.7931034482758621,1,a,jlbt4al7q4sv0kj,Query,25
5,6,-3.281,0.8695652173913043,1,a,jlbt4al7q4sv0kj,Query,26
3,4,2.755,1,1,a,jlbt4al7q4sv0kj,Query,27
6,6,4.787,0.5789473684210527,1,a,jlbt4al7q4sv0kj,Query,28
6,6,-1.101,1,1,a,jlbt4al7q4sv0kj,Query,29
7,7,-2.118,1,1,a,jlbt4al7q4sv0kj,Query,30
1,1,1.149,1,1,a,jlbt4al7q4sv0kj,Query,31
5,5,2.186,0.75,1,a,jlbt4al7q4sv0kj,Query,32
1,1,-0.192,1,1,a,jlbt4al7q4sv0kj,Query,33
2,2,1.431,1,1,a,jlbt4al7q4sv0kj,Query,34
4,4,0.89,1,1,a,jlbt4al7q4sv0kj,Query,35
1,1,0.06,1,1,a,lomhl7jw27e38km,Query,1
7,13,5.121,0.34165232358003444,1,a,lomhl7jw27e38km,Query,2
7,13,4.265,0.7115869017632241,1,a,lomhl7jw27e38km,Query,3
4,7,-0.236,0.9292035398230089,1,a,lomhl7jw27e38km,Query,4
2,3,0.564,1,1,a,lomhl7jw27e38km,Query,5
1,1,0.039,1,1,a,lomhl7jw27e38km,Query,6
1,1,-0.284,1,1,a,lomhl7jw27e38km,Query,7
5,9,5.135,0.5435897435897435,1,a,lomhl7jw27e38km,Query,8
6,11,-0.045,0.8018867924528302,1,a,lomhl7jw27e38km,Query,9
6,11,-0.319,0.9529411764705882,1,a,lomhl7jw27e38km,Query,10
6,10,-3.905,0.8024691358024691,1,a,lomhl7jw27e38km,Query,11
2,3,0.348,0.9769230769230769,1,a,lomhl7jw27e38km,Query,12
4,7,0.105,0.968503937007874,1,a,lomhl7jw27e38km,Query,13
4,7,-0.569,1,1,a,lomhl7jw27e38km,Query,14
2,3,0.283,0.9491525423728814,1,a,lomhl7jw27e38km,Query,15
3,5,0.513,1,1,a,lomhl7jw27e38km,Query,16
2,3,-0.575,1,1,a,lomhl7jw27e38km,Query,17
5,8,0.159,0.5607476635514018,1,a,lomhl7jw27e38km,Query,18
3,5,0.502,0.5833333333333334,1,a,lomhl7jw27e38km,Query,19
7,9,8.301,0.6857142857142857,1,a,lomhl7jw27e38km,Query,20
