NoB,time,realRT,accuracy,realAccuracy,threshold,connection,startAtSmall,participant,Structure,trial,trueConnection
6,11,0.67,1,1,7,a,0,y7a6denlnqvwcgm,Query,1,0
3,5,1.08,1,1,6,a,0,y7a6denlnqvwcgm,Query,2,0
6,11,-2.432,1,1,6,a,0,y7a6denlnqvwcgm,Query,3,0
6,11,0.631,1,1,6,a,0,y7a6denlnqvwcgm,Query,4,0
5,9,1.422,1,1,6,a,0,y7a6denlnqvwcgm,Query,5,0
2,3,-0.066,1,1,6,a,0,y7a6denlnqvwcgm,Query,6,0
3,5,0.769,1,1,5,a,0,y7a6denlnqvwcgm,Query,7,0
5,9,3.098,1,1,5,a,0,y7a6denlnqvwcgm,Query,8,0
1,1,0.28,1,1,5,a,0,y7a6denlnqvwcgm,Query,9,0
6,10,-1.117,1,1,5,a,0,y7a6denlnqvwcgm,Query,10,0
3,5,0.931,1,1,5,a,0,y7a6denlnqvwcgm,Query,11,0
1,1,-0.084,1,1,5,a,0,y7a6denlnqvwcgm,Query,12,0
4,7,-0.087,1,1,5,a,0,y7a6denlnqvwcgm,Query,13,0
7,11,0.721,1,1,5,a,0,y7a6denlnqvwcgm,Query,14,0
7,11,-1.393,1,0,4,a,0,y7a6denlnqvwcgm,Query,15,0
1,1,0.187,1,1,4,a,0,y7a6denlnqvwcgm,Query,16,0
5,8,-1.616,1,1,4,a,0,y7a6denlnqvwcgm,Query,17,0
7,10,2.356,1,1,4,a,0,y7a6denlnqvwcgm,Query,18,0
5,8,-3.322,1,1,4,a,0,y7a6denlnqvwcgm,Query,19,0
4,7,0.687,1,1,4,a,0,y7a6denlnqvwcgm,Query,20,0
1,1,-0.107,1,1,4,a,0,y7a6denlnqvwcgm,Query,21,0
6,9,0.595,1,1,4,a,0,y7a6denlnqvwcgm,Query,22,0
4,7,-0.017,1,1,4,a,0,y7a6denlnqvwcgm,Query,23,0
2,3,0.656,1,1,3,a,0,y7a6denlnqvwcgm,Query,24,0
2,3,0.944,1,1,3,a,0,y7a6denlnqvwcgm,Query,25,0
4,6,1.425,1,1,3,a,0,y7a6denlnqvwcgm,Query,26,0
1,1,-0.773,1,1,3,a,0,y7a6denlnqvwcgm,Query,27,0
