NoB,time,realRT,accuracy,realAccuracy,threshold,connection,startAtSmall,participant,Structure,trial,trueConnection
6,11,4.804,1,1,7,a,0,y7a6denlnqvwcgm,Query,1,0
3,5,3.479,1,1,7,a,0,y7a6denlnqvwcgm,Query,2,0
6,11,5.042,1,1,7,a,0,y7a6denlnqvwcgm,Query,3,0
6,11,4.928,1,1,6,a,0,y7a6denlnqvwcgm,Query,4,0
5,9,4.174,1,1,6,a,0,y7a6denlnqvwcgm,Query,5,0
2,3,1.086,1,1,6,a,0,y7a6denlnqvwcgm,Query,6,0
3,5,2.945,1,1,6,a,0,y7a6denlnqvwcgm,Query,7,0
5,9,6.217,1,1,6,a,0,y7a6denlnqvwcgm,Query,8,0
1,1,0.911,1,1,6,a,0,y7a6denlnqvwcgm,Query,9,0
6,11,3.247,1,1,6,a,0,y7a6denlnqvwcgm,Query,10,0
3,5,2.598,1,1,6,a,0,y7a6denlnqvwcgm,Query,11,0
1,1,0.764,1,1,6,a,0,y7a6denlnqvwcgm,Query,12,0
4,7,2.869,1,1,6,a,0,y7a6denlnqvwcgm,Query,13,0
7,12,5.304,1,1,5,a,0,y7a6denlnqvwcgm,Query,14,0
7,11,4.879,1,0,5,a,0,y7a6denlnqvwcgm,Query,15,0
1,1,0.867,1,1,5,a,0,y7a6denlnqvwcgm,Query,16,0
5,9,2.395,1,1,5,a,0,y7a6denlnqvwcgm,Query,17,0
7,11,6.234,1,1,5,a,0,y7a6denlnqvwcgm,Query,18,0
5,9,2.591,1,1,5,a,0,y7a6denlnqvwcgm,Query,19,0
4,7,3.465,1,1,5,a,0,y7a6denlnqvwcgm,Query,20,0
1,1,0.718,1,1,5,a,0,y7a6denlnqvwcgm,Query,21,0
6,10,4.79,1,1,5,a,0,y7a6denlnqvwcgm,Query,22,0
4,7,3.089,1,1,5,a,0,y7a6denlnqvwcgm,Query,23,0
2,3,1.448,1,1,5,a,0,y7a6denlnqvwcgm,Query,24,0
2,3,1.527,1,1,5,a,0,y7a6denlnqvwcgm,Query,25,0
4,7,4.041,1,1,4,a,0,y7a6denlnqvwcgm,Query,26,0
1,1,0.717,1,1,4,a,0,y7a6denlnqvwcgm,Query,27,0
7,10,4.383,1,1,4,a,0,y7a6denlnqvwcgm,Query,28,0
7,10,7.21,1,0,4,a,0,y7a6denlnqvwcgm,Query,29,0
3,5,1.544,1,1,4,a,0,y7a6denlnqvwcgm,Query,30,0
4,7,2.712,1,1,4,a,0,y7a6denlnqvwcgm,Query,31,0
2,3,0.727,1,1,4,a,0,y7a6denlnqvwcgm,Query,32,0
5,8,3.569,1,1,4,a,0,y7a6denlnqvwcgm,Query,33,0
2,3,0.734,1,1,4,a,0,y7a6denlnqvwcgm,Query,34,0
3,5,1.634,1,1,4,a,0,y7a6denlnqvwcgm,Query,35,0
7,13,27.768,1,1,7,a,0,tf2ekjffoeoptr3,Query,1,0
3,5,7.651,1,1,7,a,0,tf2ekjffoeoptr3,Query,2,0
6,11,8.231,1,1,7,a,0,tf2ekjffoeoptr3,Query,3,0
2,3,3.539,1,1,6,a,0,tf2ekjffoeoptr3,Query,4,0
7,12,5.093,1,1,6,a,0,tf2ekjffoeoptr3,Query,5,0
4,7,6.25,1,1,6,a,0,tf2ekjffoeoptr3,Query,6,0
