nStartParticles,particles_to_mutate,subject,minLL
20,1,y7a6denlnqvwcgm,172.96666436240832
15,1,tf2ekjffoeoptr3,198.75813978890426
5,1,4r8fa9xh0zzco6o,202.05286338207586
20,3,a9tn75magy8nffy,183.97527274656414
20,1,rbrzxgywqun5ned,160.66865636361217
20,1,jlbt4al7q4sv0kj,190.41519665537564
15,1,lomhl7jw27e38km,181.76395045234102
5,1,jtdzsxkh2scccvw,180.40455561191604
5,3,q3rm4bg3z295hv5,192.44045535678984
15,1,y0g9hknjyys0m49,182.6216957716883
20,5,uet3pdw7hgm1hea,155.2824359967908
15,1,2het2jcuqxrh16x,192.8605050038535
10,1,pqo0sdtzqqhkq76,143.4184020882067
20,2,g63luoo50ve7yyn,176.78721833398384
5,5,5vuexcfs8r2v26t,185.5933635981247
20,3,us6grs84gamvlyg,109.83357230836671
10,1,fb8xdh3czx77hyn,155.97129445914067
5,4,rahonpod5yv68g4,125.29441397108319
20,1,9ckz34m3thm405a,109.4415115085363
15,1,dba0gupfpezprom,174.7289348321211
5,3,4z5220nwml6k16r,176.28041091493705
5,1,ylraknlb7m2m4j8,189.9210289423776
5,3,ygop6p10kgt4a4w,165.91010569558756
15,2,anajk6su5f9k9yb,185.00251071378736
10,1,qcurxvucaexqxs8,187.62491812893978
5,1,bvoobt12gur23nj,173.81968133627655
5,1,zrk9ubdb0jcwyfh,146.95921408308985
5,2,je9la01s4txjkw5,136.7409557356446
10,5,cz7ln2tal5qhfz1,132.14604443020275
20,2,lymkfw9n1mft0no,149.6344006358728
15,3,t7w0f2l0exzmotj,159.70752830396378
5,1,jfnmbjt4xn1r4dg,175.35397985652966
15,1,0kousukd07tco21,160.85899181828398
15,1,5mptj6ff8jp8fan,200.52444970161483
15,1,d4o3knz0mpk1e3r,182.79631130948516
15,5,yvs2167kyhkctcg,116.68783546201956
5,4,v2dh8a69mhuhkqz,175.2225305092531
5,1,cd1ooce50gh5xra,180.55637586737058
10,2,edj8zsg91okuwrc,184.91683833543692
10,1,4w9ejvvn5wn1gp4,174.19838116008725
10,4,zybgre563nuk6gb,200.3061951984491
5,4,gcbscmvhn2vt6bq,178.83693173688815
5,3,qn2bd9kkow9cfv1,161.3390419915054
5,3,zjckc3bo5wlwdhf,185.6756568992501
10,4,6a0rzgq5xfwq5gb,164.35365822123643
5,5,2umoxqltydb26ta,164.2605158741269
15,1,krtzqhvu9bkamrg,205.82445112179215
5,1,3jubrevqkxk105x,150.91071240246836
15,1,3ygub809y5e0rxr,181.38114663962796
20,1,a2pxd76fec08wqv,189.08854248083003
20,5,h6qct37mx0ek964,154.2396611863443
10,2,rtd925uhy78rvmr,124.23519662146413
5,5,qbzttsocef3cc2y,177.83210418310333
5,1,ub40eh4k8rdgvtb,133.65254182049551
10,1,fo7rrkaarq1yxbk,176.66734641685318
10,1,q5ep7vxrajzuy3s,165.44974719051996
15,4,gqbcw11bbup9p63,180.9919492298382
10,1,bp49s1tkfbb8xru,95.67058736959935
10,1,vrlt89awtbuehfx,166.24825195016564
5,1,5l5ksa2v5z1xcrs,139.82406432712415
15,3,m50kxs0ne7ln5xe,144.03057912397654
5,4,wdhmud3k27y9347,148.04528478435284
10,2,s0kptdmjr5nhxj4,123.34858922207323
5,3,x03mf9pz89y5s1k,163.1986842785747
5,3,k45h5lxk13xjkxs,175.4077232107869
10,4,mqng9gal5nqwgz9,200.766681683125
10,1,fhx07b8nwvnqhok,170.1518523687516
20,3,z4po88qwrs63ldg,148.71331671172382
20,4,xyvdwfe8z64oyoz,163.93398192732536
20,3,z2x1ybgywapr8x0,187.602663197902
5,5,zpdbjkc3r3564ye,185.67093347201617
15,2,3j2uzccgoqa3u2m,169.03995947726042
5,2,vum2fldfgzx1jw1,164.66193565426298
