nStartParticles,particles_to_mutate,subject,minLL
100,10,y7a6denlnqvwcgm,170.98396949307298
15,2,tf2ekjffoeoptr3,199.65285027352763
20,3,4r8fa9xh0zzco6o,201.6997575822337
5,1,a9tn75magy8nffy,182.1957924773473
100,10,rbrzxgywqun5ned,158.65239452263347
15,1,jlbt4al7q4sv0kj,189.97677516221276
1000,50,lomhl7jw27e38km,182.27903134214628
20,4,jtdzsxkh2scccvw,181.20529513021765
5,1,q3rm4bg3z295hv5,190.3477783522846
10,3,y0g9hknjyys0m49,181.52378605406057
15,2,uet3pdw7hgm1hea,156.4136954962013
100,5,2het2jcuqxrh16x,192.79297830528327
100,5,pqo0sdtzqqhkq76,145.94237121534152
10,2,g63luoo50ve7yyn,176.45229563109373
20,1,5vuexcfs8r2v26t,184.451940302079
10000,5000,us6grs84gamvlyg,110.10704696978452
100,5,fb8xdh3czx77hyn,153.922302438733
10000,750,rahonpod5yv68g4,125.34571937257756
10000,500,9ckz34m3thm405a,108.71931616082873
5,2,dba0gupfpezprom,174.91671447947715
1000,750,4z5220nwml6k16r,177.856543931578
5,1,ylraknlb7m2m4j8,188.88693381463483
15,2,ygop6p10kgt4a4w,167.1932634403397
20,1,anajk6su5f9k9yb,184.22338764933056
15,1,qcurxvucaexqxs8,187.68807729562326
5,3,bvoobt12gur23nj,176.08920927466613
15,1,zrk9ubdb0jcwyfh,147.94321122816606
100,5,je9la01s4txjkw5,138.3869284471291
5,2,cz7ln2tal5qhfz1,130.59413695705973
10,1,lymkfw9n1mft0no,146.22870709725186
15,2,t7w0f2l0exzmotj,158.52377047374006
5,2,jfnmbjt4xn1r4dg,177.1848561265681
20,1,0kousukd07tco21,158.37408211376032
20,1,5mptj6ff8jp8fan,201.47423072863057
15,1,d4o3knz0mpk1e3r,182.90779532895402
15,4,yvs2167kyhkctcg,115.5512274735542
1000,750,v2dh8a69mhuhkqz,178.00630270803015
15,1,cd1ooce50gh5xra,179.9067436409013
15,2,edj8zsg91okuwrc,184.0563120644655
15,1,4w9ejvvn5wn1gp4,171.99386577886455
5,1,zybgre563nuk6gb,201.7168251356501
1000,500,gcbscmvhn2vt6bq,177.50574388580378
100,10,qn2bd9kkow9cfv1,160.34231222506372
20,5,zjckc3bo5wlwdhf,182.9513257429657
5,4,6a0rzgq5xfwq5gb,163.9941868915936
10000,500,2umoxqltydb26ta,163.44644309518617
15,1,krtzqhvu9bkamrg,205.3499285669843
1000,50,3jubrevqkxk105x,152.92590021021272
20,4,3ygub809y5e0rxr,181.5259310888435
1000,50,a2pxd76fec08wqv,186.528878882358
5,2,h6qct37mx0ek964,153.74891577329709
10000,5000,rtd925uhy78rvmr,124.68189080211778
20,1,qbzttsocef3cc2y,178.1322533098795
10000,7500,ub40eh4k8rdgvtb,133.50861368926246
20,2,fo7rrkaarq1yxbk,175.93162081902594
100,5,q5ep7vxrajzuy3s,164.5129886457328
100,10,gqbcw11bbup9p63,180.77370899731216
20,5,bp49s1tkfbb8xru,96.03795554367537
10000,1000,vrlt89awtbuehfx,166.4618235098625
5,3,5l5ksa2v5z1xcrs,137.45395432655707
100,5,m50kxs0ne7ln5xe,144.45122060845785
20,1,wdhmud3k27y9347,149.94687133157697
100,5,s0kptdmjr5nhxj4,123.70657968552266
5,2,x03mf9pz89y5s1k,164.58285142765345
15,5,k45h5lxk13xjkxs,176.8059008395666
10,3,mqng9gal5nqwgz9,200.25639048636248
10000,750,fhx07b8nwvnqhok,168.73185398001198
10,4,z4po88qwrs63ldg,148.72997930406606
10,1,xyvdwfe8z64oyoz,165.21396835729007
15,2,z2x1ybgywapr8x0,186.824796557223
5,3,zpdbjkc3r3564ye,184.4843897309546
5,2,3j2uzccgoqa3u2m,168.17941071976435
15,5,vum2fldfgzx1jw1,164.14338369325242
