subject,nStartParticles,Nr_of_mutations,LL
y7a6denlnqvwcgm,1,1,172.2522988403569
y7a6denlnqvwcgm,1,5,179.63045824909116
y7a6denlnqvwcgm,1,10,179.25102909357489
y7a6denlnqvwcgm,1,100,180.3453688654118
y7a6denlnqvwcgm,1,1000,181.9938877426679
y7a6denlnqvwcgm,1,10000,181.32132316732304
tf2ekjffoeoptr3,1,1,199.83364633217644
tf2ekjffoeoptr3,1,5,207.30280138719746
tf2ekjffoeoptr3,1,10,207.2771401626713
tf2ekjffoeoptr3,1,100,212.05679591083202
tf2ekjffoeoptr3,1,1000,209.3733634313582
tf2ekjffoeoptr3,1,10000,208.62205463441356
4r8fa9xh0zzco6o,1,1,208.8679204936138
4r8fa9xh0zzco6o,1,5,209.74321968318733
4r8fa9xh0zzco6o,1,10,208.50782854260927
4r8fa9xh0zzco6o,1,100,211.1141065642813
4r8fa9xh0zzco6o,1,1000,214.25547983545204
4r8fa9xh0zzco6o,1,10000,209.85516676820322
a9tn75magy8nffy,1,1,187.1420397054495
a9tn75magy8nffy,1,5,191.84548256089892
a9tn75magy8nffy,1,10,188.77912412935444
a9tn75magy8nffy,1,100,193.57310759135885
a9tn75magy8nffy,1,1000,193.16352971614734
a9tn75magy8nffy,1,10000,193.6357117037536
rbrzxgywqun5ned,1,1,171.45805646344343
rbrzxgywqun5ned,1,5,164.08246522029276
rbrzxgywqun5ned,1,10,163.61009788706792
rbrzxgywqun5ned,1,100,166.51678435208606
rbrzxgywqun5ned,1,1000,168.7441802848959
rbrzxgywqun5ned,1,10000,165.2104212964781
jlbt4al7q4sv0kj,1,1,190.92951575988263
jlbt4al7q4sv0kj,1,5,194.5059726772464
jlbt4al7q4sv0kj,1,10,196.46527607219593
jlbt4al7q4sv0kj,1,100,196.30328780404395
jlbt4al7q4sv0kj,1,1000,195.95349199533212
jlbt4al7q4sv0kj,1,10000,194.90479647769152
lomhl7jw27e38km,1,1,180.48215947327412
lomhl7jw27e38km,1,5,188.95461630733135
lomhl7jw27e38km,1,10,192.20601097884506
lomhl7jw27e38km,1,100,191.07895262897705
lomhl7jw27e38km,1,1000,189.841807649626
lomhl7jw27e38km,1,10000,188.19781031455105
jtdzsxkh2scccvw,1,1,187.35386719923602
jtdzsxkh2scccvw,1,5,185.32797421057396
jtdzsxkh2scccvw,1,10,183.68974348717268
jtdzsxkh2scccvw,1,100,185.48907219171187
jtdzsxkh2scccvw,1,1000,188.50463457146267
jtdzsxkh2scccvw,1,10000,187.66111421922153
q3rm4bg3z295hv5,1,1,194.31298616755936
q3rm4bg3z295hv5,1,5,200.45218896949254
q3rm4bg3z295hv5,1,10,196.1680543711091
q3rm4bg3z295hv5,1,100,196.45607939666561
q3rm4bg3z295hv5,1,1000,198.22512337861528
q3rm4bg3z295hv5,1,10000,198.49171041161253
y0g9hknjyys0m49,1,1,183.29143254028455
y0g9hknjyys0m49,1,5,184.68916631365366
y0g9hknjyys0m49,1,10,182.89486642195902
y0g9hknjyys0m49,1,100,185.8186013215481
y0g9hknjyys0m49,1,1000,186.4984111711813
y0g9hknjyys0m49,1,10000,184.22342323457718
uet3pdw7hgm1hea,1,1,158.47736731700607
uet3pdw7hgm1hea,1,5,160.68603397569927
uet3pdw7hgm1hea,1,10,159.9322431330144
uet3pdw7hgm1hea,1,100,162.54466325463667
uet3pdw7hgm1hea,1,1000,163.88801358100847
uet3pdw7hgm1hea,1,10000,163.78601307129722
2het2jcuqxrh16x,1,1,196.1190054009723
2het2jcuqxrh16x,1,5,200.79541007698612
2het2jcuqxrh16x,1,10,199.21925920812288
2het2jcuqxrh16x,1,100,195.04454099786287
2het2jcuqxrh16x,1,1000,193.48755503561037
2het2jcuqxrh16x,1,10000,193.1449303063748
pqo0sdtzqqhkq76,1,1,149.8735258677397
pqo0sdtzqqhkq76,1,5,149.00370462241264
pqo0sdtzqqhkq76,1,10,145.72926984468265
pqo0sdtzqqhkq76,1,100,148.77568212868871
pqo0sdtzqqhkq76,1,1000,151.26029124623443
pqo0sdtzqqhkq76,1,10000,151.03441133487925
g63luoo50ve7yyn,1,1,180.21744634934683
g63luoo50ve7yyn,1,5,178.77325903047696
g63luoo50ve7yyn,1,10,179.72896987621291
g63luoo50ve7yyn,1,100,181.7916815966648
g63luoo50ve7yyn,1,1000,182.50483663932815
g63luoo50ve7yyn,1,10000,183.05443575274327
5vuexcfs8r2v26t,1,1,184.6766354836155
5vuexcfs8r2v26t,1,5,191.9903987475888
5vuexcfs8r2v26t,1,10,189.7118966657482
5vuexcfs8r2v26t,1,100,192.84451941514422
5vuexcfs8r2v26t,1,1000,194.01771393073506
5vuexcfs8r2v26t,1,10000,193.27073291507122
us6grs84gamvlyg,1,1,112.30677694134604
us6grs84gamvlyg,1,5,112.6324973838088
us6grs84gamvlyg,1,10,112.18561629468141
