subject,nStartParticles,particles_to_mutate,LL
y7a6denlnqvwcgm,5,1,175.92023215628828
y7a6denlnqvwcgm,5,2,175.45109949855322
y7a6denlnqvwcgm,5,3,175.27777383901437
y7a6denlnqvwcgm,5,4,175.13886989752976
y7a6denlnqvwcgm,10,1,172.97064405083566
y7a6denlnqvwcgm,10,2,175.16558358968666
y7a6denlnqvwcgm,10,3,175.14212515164272
y7a6denlnqvwcgm,10,4,174.41581511273634
y7a6denlnqvwcgm,10,5,176.82585159331654
y7a6denlnqvwcgm,15,1,173.66440024533264
y7a6denlnqvwcgm,15,2,174.73976276905904
y7a6denlnqvwcgm,15,3,175.71208903455565
y7a6denlnqvwcgm,15,4,174.42808094652494
y7a6denlnqvwcgm,15,5,175.2359189759135
y7a6denlnqvwcgm,15,10,176.33010106740454
y7a6denlnqvwcgm,20,1,176.3745817502971
y7a6denlnqvwcgm,20,2,173.56361570713085
y7a6denlnqvwcgm,20,3,176.75193350130075
y7a6denlnqvwcgm,20,4,174.9525373686378
y7a6denlnqvwcgm,20,5,174.24139504621445
y7a6denlnqvwcgm,20,10,176.0624456172095
y7a6denlnqvwcgm,100,5,174.78607524369957
y7a6denlnqvwcgm,100,10,170.98396949307298
y7a6denlnqvwcgm,100,50,177.19689653316016
y7a6denlnqvwcgm,1000,50,173.57989692730192
y7a6denlnqvwcgm,1000,500,174.87625442247366
y7a6denlnqvwcgm,1000,750,176.75639113304624
y7a6denlnqvwcgm,10000,500,172.22782993627274
y7a6denlnqvwcgm,10000,750,173.88965169809032
y7a6denlnqvwcgm,10000,1000,173.73919668070621
y7a6denlnqvwcgm,10000,5000,174.9265423693827
y7a6denlnqvwcgm,10000,7500,175.74119811616768
tf2ekjffoeoptr3,5,1,200.0643660012344
tf2ekjffoeoptr3,5,2,200.84590787412108
tf2ekjffoeoptr3,5,3,203.78724228462534
tf2ekjffoeoptr3,5,4,202.03788765466692
tf2ekjffoeoptr3,10,1,201.15513729770475
tf2ekjffoeoptr3,10,2,204.08347265093454
tf2ekjffoeoptr3,10,3,200.55228386642165
tf2ekjffoeoptr3,10,4,202.8459074823927
tf2ekjffoeoptr3,10,5,201.40846786866868
tf2ekjffoeoptr3,15,1,200.86047252554147
tf2ekjffoeoptr3,15,2,199.65285027352763
tf2ekjffoeoptr3,15,3,201.28714476586433
tf2ekjffoeoptr3,15,4,201.53674540043508
tf2ekjffoeoptr3,15,5,202.116170158744
tf2ekjffoeoptr3,15,10,201.5522645904569
tf2ekjffoeoptr3,20,1,202.1637388103837
tf2ekjffoeoptr3,20,2,201.44603858961236
tf2ekjffoeoptr3,20,3,199.6542374016172
tf2ekjffoeoptr3,20,4,201.00195242527394
tf2ekjffoeoptr3,20,5,201.87326601193945
tf2ekjffoeoptr3,20,10,202.51850856375992
tf2ekjffoeoptr3,100,5,202.20303630630474
tf2ekjffoeoptr3,100,10,203.06320088120813
tf2ekjffoeoptr3,100,50,203.27460908204523
tf2ekjffoeoptr3,1000,50,202.84945151021623
tf2ekjffoeoptr3,1000,500,202.14181583285315
tf2ekjffoeoptr3,1000,750,205.86599241699366
tf2ekjffoeoptr3,10000,500,204.4342169347261
tf2ekjffoeoptr3,10000,750,203.63151482391584
tf2ekjffoeoptr3,10000,1000,202.1127036611703
tf2ekjffoeoptr3,10000,5000,204.18903652713354
tf2ekjffoeoptr3,10000,7500,206.07966354468684
4r8fa9xh0zzco6o,5,1,210.1929166457001
4r8fa9xh0zzco6o,5,2,208.92754427631212
4r8fa9xh0zzco6o,5,3,203.86669503921948
4r8fa9xh0zzco6o,5,4,212.62288649516842
4r8fa9xh0zzco6o,10,1,204.17483870585454
4r8fa9xh0zzco6o,10,2,204.75855651156164
4r8fa9xh0zzco6o,10,3,206.49530439130126
4r8fa9xh0zzco6o,10,4,206.83833550996363
4r8fa9xh0zzco6o,10,5,208.85716709941
4r8fa9xh0zzco6o,15,1,203.02696237836133
4r8fa9xh0zzco6o,15,2,204.3203112099339
4r8fa9xh0zzco6o,15,3,204.9514283780471
4r8fa9xh0zzco6o,15,4,206.41105838329676
4r8fa9xh0zzco6o,15,5,203.93442835742547
4r8fa9xh0zzco6o,15,10,207.98668245170578
4r8fa9xh0zzco6o,20,1,204.2654693380164
4r8fa9xh0zzco6o,20,2,207.79915194052677
4r8fa9xh0zzco6o,20,3,201.6997575822337
4r8fa9xh0zzco6o,20,4,204.33095232072634
4r8fa9xh0zzco6o,20,5,205.89469439775218
4r8fa9xh0zzco6o,20,10,206.47931991478816
