NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
6,11,4.804,0.78,1,a,y7a6denlnqvwcgm,Query,1
3,5,3.479,0.85,1,a,y7a6denlnqvwcgm,Query,2
6,11,5.042,0.79,1,a,y7a6denlnqvwcgm,Query,3
6,11,4.928,0.78,1,a,y7a6denlnqvwcgm,Query,4
5,9,4.174,0.86,1,a,y7a6denlnqvwcgm,Query,5
2,3,1.086,0.72,1,a,y7a6denlnqvwcgm,Query,6
3,5,2.945,0.99,1,a,y7a6denlnqvwcgm,Query,7
5,9,6.217,0.96,1,a,y7a6denlnqvwcgm,Query,8
1,1,0.911,1,1,a,y7a6denlnqvwcgm,Query,9
6,6,3.247,0.99,1,a,y7a6denlnqvwcgm,Query,10
3,4,2.598,0.99,1,a,y7a6denlnqvwcgm,Query,11
1,1,0.764,1,1,a,y7a6denlnqvwcgm,Query,12
4,5,2.869,0.99,1,a,y7a6denlnqvwcgm,Query,13
7,7,5.304,0.97,1,a,y7a6denlnqvwcgm,Query,14
7,7,4.879,0.99,0,a,y7a6denlnqvwcgm,Query,15
1,1,0.867,1,1,a,y7a6denlnqvwcgm,Query,16
5,6,2.395,0.78,1,a,y7a6denlnqvwcgm,Query,17
7,8,6.234,0.99,1,a,y7a6denlnqvwcgm,Query,18
5,6,2.591,0.8,1,a,y7a6denlnqvwcgm,Query,19
4,5,3.465,0.79,1,a,y7a6denlnqvwcgm,Query,20
1,1,0.718,1,1,a,y7a6denlnqvwcgm,Query,21
6,7,4.79,0.75,1,a,y7a6denlnqvwcgm,Query,22
4,5,3.089,0.88,1,a,y7a6denlnqvwcgm,Query,23
2,3,1.448,1,1,a,y7a6denlnqvwcgm,Query,24
2,3,1.527,0.87,1,a,y7a6denlnqvwcgm,Query,25
4,5,4.041,0.75,1,a,y7a6denlnqvwcgm,Query,26
1,1,0.717,1,1,a,y7a6denlnqvwcgm,Query,27
7,8,4.383,0.98,1,a,y7a6denlnqvwcgm,Query,28
7,7,7.21,0.5,0,a,y7a6denlnqvwcgm,Query,29
3,4,1.544,1,1,a,y7a6denlnqvwcgm,Query,30
4,5,2.712,0.99,1,a,y7a6denlnqvwcgm,Query,31
2,3,0.727,0.97,1,a,y7a6denlnqvwcgm,Query,32
5,6,3.569,0.96,1,a,y7a6denlnqvwcgm,Query,33
2,3,0.734,0.98,1,a,y7a6denlnqvwcgm,Query,34
3,4,1.634,1,1,a,y7a6denlnqvwcgm,Query,35
3,5,2.802,1,1,jbf,y7a6denlnqvwcgm,Sequence,1
6,11,9.291,0.6,1,jbf,y7a6denlnqvwcgm,Sequence,2
7,13,10.747,0.6,0,jbf,y7a6denlnqvwcgm,Sequence,3
4,7,4.2,0.62,1,jbf,y7a6denlnqvwcgm,Sequence,4
1,1,1.424,1,1,jbf,y7a6denlnqvwcgm,Sequence,5
5,9,4.522,0.94,1,jbf,y7a6denlnqvwcgm,Sequence,6
1,1,0.942,1,1,jbf,y7a6denlnqvwcgm,Sequence,7
4,7,2.482,0.58,1,jbf,y7a6denlnqvwcgm,Sequence,8
1,1,0.943,1,1,jbf,y7a6denlnqvwcgm,Sequence,9
6,9,7.254,0.6,1,jbf,y7a6denlnqvwcgm,Sequence,10
7,10,6.064,0.96,1,jbf,y7a6denlnqvwcgm,Sequence,11
3,5,2.176,0.97,1,jbf,y7a6denlnqvwcgm,Sequence,12
2,3,1.206,1,1,jbf,y7a6denlnqvwcgm,Sequence,13
6,9,7.115,0.62,1,jbf,y7a6denlnqvwcgm,Sequence,14
1,1,0.969,1,1,jbf,y7a6denlnqvwcgm,Sequence,15
5,8,3.807,0.38,1,jbf,y7a6denlnqvwcgm,Sequence,16
3,5,2.329,0.53,1,jbf,y7a6denlnqvwcgm,Sequence,17
4,7,2.931,0.92,1,jbf,y7a6denlnqvwcgm,Sequence,18
2,3,0.88,0.99,1,jbf,y7a6denlnqvwcgm,Sequence,19
1,1,0.758,1,1,jbf,y7a6denlnqvwcgm,Sequence,20
7,9,7.296,0.76,0,jbf,y7a6denlnqvwcgm,Sequence,21
4,6,4.194,0.8,1,jbf,y7a6denlnqvwcgm,Sequence,22
2,3,2.05,0.97,1,jbf,y7a6denlnqvwcgm,Sequence,23
4,6,3.839,0.87,1,jbf,y7a6denlnqvwcgm,Sequence,24
2,3,1.345,0.97,1,jbf,y7a6denlnqvwcgm,Sequence,25
6,7,5.243,0.92,1,jbf,y7a6denlnqvwcgm,Sequence,26
2,2,0.906,1,1,jbf,y7a6denlnqvwcgm,Sequence,27
5,5,3.513,0.75,1,jbf,y7a6denlnqvwcgm,Sequence,28
3,3,1.92,0.79,1,jbf,y7a6denlnqvwcgm,Sequence,29
5,4,4.48,0.92,1,jbf,y7a6denlnqvwcgm,Sequence,30
3,2,1.833,0.79,1,jbf,y7a6denlnqvwcgm,Sequence,31
5,4,3.521,0.99,1,jbf,y7a6denlnqvwcgm,Sequence,32
6,6,4.679,1,1,jbf,y7a6denlnqvwcgm,Sequence,33
7,6,11.665,0,1,jbf,y7a6denlnqvwcgm,Sequence,34
7,13,9.905,0.68,1,jbf,y7a6denlnqvwcgm,Sequence,35
3,5,2.425,0.79,1,a,y7a6denlnqvwcgm,None,1
7,13,10.062,0.64,1,a,y7a6denlnqvwcgm,None,2
1,1,0.823,1,1,a,y7a6denlnqvwcgm,None,3
6,11,5.788,0.91,1,a,y7a6denlnqvwcgm,None,4
5,9,4.051,0.31,1,a,y7a6denlnqvwcgm,None,5
7,12,5.862,0.07,1,a,y7a6denlnqvwcgm,None,6
1,1,0.862,1,1,a,y7a6denlnqvwcgm,None,7
6,10,3.738,0.25,0,a,y7a6denlnqvwcgm,None,8
3,5,2.04,0.99,1,a,y7a6denlnqvwcgm,None,9
4,7,3.263,1,1,a,y7a6denlnqvwcgm,None,10
