NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
6,11,4.804,0.5,1,a,y7a6denlnqvwcgm,Query,1
3,5,3.479,0.4,1,a,y7a6denlnqvwcgm,Query,2
6,11,5.042,0.95,1,a,y7a6denlnqvwcgm,Query,3
6,11,4.928,0.9,1,a,y7a6denlnqvwcgm,Query,4
5,9,4.174,0.95,1,a,y7a6denlnqvwcgm,Query,5
2,3,1.086,0.85,1,a,y7a6denlnqvwcgm,Query,6
3,5,2.945,1,1,a,y7a6denlnqvwcgm,Query,7
5,9,6.217,1,1,a,y7a6denlnqvwcgm,Query,8
1,1,0.911,1,1,a,y7a6denlnqvwcgm,Query,9
6,9,3.247,1,1,a,y7a6denlnqvwcgm,Query,10
3,5,2.598,1,1,a,y7a6denlnqvwcgm,Query,11
1,1,0.764,1,1,a,y7a6denlnqvwcgm,Query,12
4,6,2.869,0.95,1,a,y7a6denlnqvwcgm,Query,13
7,8,5.304,1,1,a,y7a6denlnqvwcgm,Query,14
7,9,4.879,1,0,a,y7a6denlnqvwcgm,Query,15
1,1,0.867,1,1,a,y7a6denlnqvwcgm,Query,16
5,6,2.395,1,1,a,y7a6denlnqvwcgm,Query,17
7,7,6.234,1,1,a,y7a6denlnqvwcgm,Query,18
5,6,2.591,1,1,a,y7a6denlnqvwcgm,Query,19
4,5,3.465,1,1,a,y7a6denlnqvwcgm,Query,20
1,1,0.718,1,1,a,y7a6denlnqvwcgm,Query,21
6,7,4.79,1,1,a,y7a6denlnqvwcgm,Query,22
4,5,3.089,0.95,1,a,y7a6denlnqvwcgm,Query,23
2,3,1.448,1,1,a,y7a6denlnqvwcgm,Query,24
2,3,1.527,0.85,1,a,y7a6denlnqvwcgm,Query,25
4,4,4.041,0.5,1,a,y7a6denlnqvwcgm,Query,26
1,1,0.717,1,1,a,y7a6denlnqvwcgm,Query,27
7,8,4.383,1,1,a,y7a6denlnqvwcgm,Query,28
7,7,7.21,1,0,a,y7a6denlnqvwcgm,Query,29
3,4,1.544,0.95,1,a,y7a6denlnqvwcgm,Query,30
4,5,2.712,1,1,a,y7a6denlnqvwcgm,Query,31
2,2,0.727,0.95,1,a,y7a6denlnqvwcgm,Query,32
5,6,3.569,0.95,1,a,y7a6denlnqvwcgm,Query,33
2,3,0.734,1,1,a,y7a6denlnqvwcgm,Query,34
3,4,1.634,1,1,a,y7a6denlnqvwcgm,Query,35
3,5,2.802,1,1,jbf,y7a6denlnqvwcgm,Sequence,1
6,11,9.291,0.5,1,jbf,y7a6denlnqvwcgm,Sequence,2
7,13,10.747,0.5,0,jbf,y7a6denlnqvwcgm,Sequence,3
4,7,4.2,1,1,jbf,y7a6denlnqvwcgm,Sequence,4
1,1,1.424,1,1,jbf,y7a6denlnqvwcgm,Sequence,5
5,9,4.522,0.2,1,jbf,y7a6denlnqvwcgm,Sequence,6
1,1,0.942,1,1,jbf,y7a6denlnqvwcgm,Sequence,7
4,7,2.482,0.55,1,jbf,y7a6denlnqvwcgm,Sequence,8
1,1,0.943,1,1,jbf,y7a6denlnqvwcgm,Sequence,9
6,9,7.254,0.5,1,jbf,y7a6denlnqvwcgm,Sequence,10
7,10,6.064,0.3,1,jbf,y7a6denlnqvwcgm,Sequence,11
3,5,2.176,0.5,1,jbf,y7a6denlnqvwcgm,Sequence,12
2,3,1.206,1,1,jbf,y7a6denlnqvwcgm,Sequence,13
6,9,7.115,0.3,1,jbf,y7a6denlnqvwcgm,Sequence,14
1,1,0.969,1,1,jbf,y7a6denlnqvwcgm,Sequence,15
5,8,3.807,0.95,1,jbf,y7a6denlnqvwcgm,Sequence,16
3,5,2.329,1,1,jbf,y7a6denlnqvwcgm,Sequence,17
4,7,2.931,1,1,jbf,y7a6denlnqvwcgm,Sequence,18
2,3,0.88,1,1,jbf,y7a6denlnqvwcgm,Sequence,19
1,1,0.758,1,1,jbf,y7a6denlnqvwcgm,Sequence,20
