NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial,Nr_of_mutations
6,11,4.804,1,1,a,y7a6denlnqvwcgm,Query,1,1
3,5,3.479,1,1,a,y7a6denlnqvwcgm,Query,2,1
6,9,5.042,0,1,a,y7a6denlnqvwcgm,Query,3,1
6,11,4.928,1,1,a,y7a6denlnqvwcgm,Query,4,1
5,7,4.174,0,1,a,y7a6denlnqvwcgm,Query,5,1
2,3,1.086,1,1,a,y7a6denlnqvwcgm,Query,6,1
3,5,2.945,1,1,a,y7a6denlnqvwcgm,Query,7,1
5,7,6.217,1,1,a,y7a6denlnqvwcgm,Query,8,1
1,1,0.911,1,1,a,y7a6denlnqvwcgm,Query,9,1
6,9,3.247,0,1,a,y7a6denlnqvwcgm,Query,10,1
3,3,2.598,0,1,a,y7a6denlnqvwcgm,Query,11,1
1,1,0.764,1,1,a,y7a6denlnqvwcgm,Query,12,1
4,7,2.869,1,1,a,y7a6denlnqvwcgm,Query,13,1
7,12,5.304,1,1,a,y7a6denlnqvwcgm,Query,14,1
7,12,4.879,1,0,a,y7a6denlnqvwcgm,Query,15,1
1,1,0.867,1,1,a,y7a6denlnqvwcgm,Query,16,1
5,8,2.395,0,1,a,y7a6denlnqvwcgm,Query,17,1
7,9,6.234,1,1,a,y7a6denlnqvwcgm,Query,18,1
5,9,2.591,1,1,a,y7a6denlnqvwcgm,Query,19,1
4,5,3.465,0,1,a,y7a6denlnqvwcgm,Query,20,1
1,1,0.718,1,1,a,y7a6denlnqvwcgm,Query,21,1
6,7,4.79,1,1,a,y7a6denlnqvwcgm,Query,22,1
4,7,3.089,0,1,a,y7a6denlnqvwcgm,Query,23,1
2,3,1.448,1,1,a,y7a6denlnqvwcgm,Query,24,1
2,3,1.527,1,1,a,y7a6denlnqvwcgm,Query,25,1
4,7,4.041,1,1,a,y7a6denlnqvwcgm,Query,26,1
1,1,0.717,1,1,a,y7a6denlnqvwcgm,Query,27,1
7,9,4.383,0,1,a,y7a6denlnqvwcgm,Query,28,1
7,9,7.21,0,0,a,y7a6denlnqvwcgm,Query,29,1
3,5,1.544,1,1,a,y7a6denlnqvwcgm,Query,30,1
4,7,2.712,0,1,a,y7a6denlnqvwcgm,Query,31,1
2,3,0.727,1,1,a,y7a6denlnqvwcgm,Query,32,1
5,9,3.569,1,1,a,y7a6denlnqvwcgm,Query,33,1
2,3,0.734,1,1,a,y7a6denlnqvwcgm,Query,34,1
3,5,1.634,1,1,a,y7a6denlnqvwcgm,Query,35,1
3,5,2.802,1,1,jbf,y7a6denlnqvwcgm,Sequence,1,1
6,9,9.291,0,1,jbf,y7a6denlnqvwcgm,Sequence,2,1
7,13,10.747,1,0,jbf,y7a6denlnqvwcgm,Sequence,3,1
4,7,4.2,1,1,jbf,y7a6denlnqvwcgm,Sequence,4,1
1,1,1.424,1,1,jbf,y7a6denlnqvwcgm,Sequence,5,1
5,7,4.522,1,1,jbf,y7a6denlnqvwcgm,Sequence,6,1
1,1,0.942,1,1,jbf,y7a6denlnqvwcgm,Sequence,7,1
4,7,2.482,1,1,jbf,y7a6denlnqvwcgm,Sequence,8,1
1,1,0.943,1,1,jbf,y7a6denlnqvwcgm,Sequence,9,1
6,11,7.254,1,1,jbf,y7a6denlnqvwcgm,Sequence,10,1
7,9,6.064,0,1,jbf,y7a6denlnqvwcgm,Sequence,11,1
3,5,2.176,1,1,jbf,y7a6denlnqvwcgm,Sequence,12,1
2,3,1.206,1,1,jbf,y7a6denlnqvwcgm,Sequence,13,1
6,7,7.115,0,1,jbf,y7a6denlnqvwcgm,Sequence,14,1
1,1,0.969,1,1,jbf,y7a6denlnqvwcgm,Sequence,15,1
5,9,3.807,1,1,jbf,y7a6denlnqvwcgm,Sequence,16,1
3,5,2.329,1,1,jbf,y7a6denlnqvwcgm,Sequence,17,1
4,7,2.931,1,1,jbf,y7a6denlnqvwcgm,Sequence,18,1
2,3,0.88,1,1,jbf,y7a6denlnqvwcgm,Sequence,19,1
1,1,0.758,1,1,jbf,y7a6denlnqvwcgm,Sequence,20,1
7,13,7.296,1,0,jbf,y7a6denlnqvwcgm,Sequence,21,1
4,7,4.194,1,1,jbf,y7a6denlnqvwcgm,Sequence,22,1
2,3,2.05,1,1,jbf,y7a6denlnqvwcgm,Sequence,23,1
4,5,3.839,0,1,jbf,y7a6denlnqvwcgm,Sequence,24,1
2,3,1.345,1,1,jbf,y7a6denlnqvwcgm,Sequence,25,1
6,7,5.243,0,1,jbf,y7a6denlnqvwcgm,Sequence,26,1
2,3,0.906,1,1,jbf,y7a6denlnqvwcgm,Sequence,27,1
5,6,3.513,0,1,jbf,y7a6denlnqvwcgm,Sequence,28,1
3,5,1.92,1,1,jbf,y7a6denlnqvwcgm,Sequence,29,1
5,9,4.48,1,1,jbf,y7a6denlnqvwcgm,Sequence,30,1
3,5,1.833,1,1,jbf,y7a6denlnqvwcgm,Sequence,31,1
5,6,3.521,1,1,jbf,y7a6denlnqvwcgm,Sequence,32,1
6,7,4.679,0,1,jbf,y7a6denlnqvwcgm,Sequence,33,1
7,11,11.665,1,1,jbf,y7a6denlnqvwcgm,Sequence,34,1
7,7,9.905,0,1,jbf,y7a6denlnqvwcgm,Sequence,35,1
3,5,2.425,0,1,a,y7a6denlnqvwcgm,None,1,1
7,9,10.062,1,1,a,y7a6denlnqvwcgm,None,2,1
1,1,0.823,1,1,a,y7a6denlnqvwcgm,None,3,1
6,9,5.788,1,1,a,y7a6denlnqvwcgm,None,4,1
5,7,4.051,0,1,a,y7a6denlnqvwcgm,None,5,1
7,12,5.862,1,1,a,y7a6denlnqvwcgm,None,6,1
1,1,0.862,1,1,a,y7a6denlnqvwcgm,None,7,1
6,11,3.738,1,0,a,y7a6denlnqvwcgm,None,8,1
3,5,2.04,1,1,a,y7a6denlnqvwcgm,None,9,1
4,5,3.263,1,1,a,y7a6denlnqvwcgm,None,10,1
7,9,5.239,0,1,a,y7a6denlnqvwcgm,None,11,1
5,9,3.576,1,1,a,y7a6denlnqvwcgm,None,12,1
